Funder from,Funder to,grants
A B Charitable Trust,The Big Lottery Fund,16
A B Charitable Trust,Lloyds Bank Foundation for England and Wales,12
A B Charitable Trust,Garfield Weston Foundation,10
A B Charitable Trust,Trust for London,6
A B Charitable Trust,The Tudor Trust,4
A B Charitable Trust,City Bridge Trust,3
A B Charitable Trust,Joseph Rowntree Charitable Trust,3
A B Charitable Trust,The Clothworkers Foundation,3
A B Charitable Trust,Co-operative Group,2
A B Charitable Trust,Community Foundation serving Tyne & Wear and Northumberland,2
A B Charitable Trust,The Robertson Trust,2
A B Charitable Trust,Essex Community Foundation,1
A B Charitable Trust,Masonic Charitable Foundation,1
A B Charitable Trust,Barrow Cadbury Trust,1
A B Charitable Trust,Oxford City Council,1
A B Charitable Trust,Scottish Council For Voluntary Organisations,1
A B Charitable Trust,Three Guineas Trust,1
A B Charitable Trust,Tuixen Foundation,1
A B Charitable Trust,Corra Foundation,1
A B Charitable Trust,Indigo Trust,1
A B Charitable Trust,United St Saviour's Charity,1
A B Charitable Trust,Woodward Charitable Trust,1
A B Charitable Trust,Esmée Fairbairn Foundation,1
A B Charitable Trust,The Henry Smith Charity,1
ARCADIA,Garfield Weston Foundation,1
ARCADIA,Greater London Authority,1
Barrow Cadbury Trust,Esmée Fairbairn Foundation,3
Barrow Cadbury Trust,The Big Lottery Fund,3
Barrow Cadbury Trust,Trust for London,3
Barrow Cadbury Trust,Lankelly Chase Foundation,2
Barrow Cadbury Trust,The Tudor Trust,2
Barrow Cadbury Trust,Lloyds Bank Foundation for England and Wales,1
Barrow Cadbury Trust,Comic Relief,1
Barrow Cadbury Trust,Tedworth Charitable Trust,1
Barrow Cadbury Trust,A B Charitable Trust,1
Barrow Cadbury Trust,Nesta,1
Barrow Cadbury Trust,Joseph Rowntree Charitable Trust,1
Barrow Cadbury Trust,Samworth Foundation,1
Barrow Cadbury Trust,London Councils,1
Birmingham City Council,Heart Of England Community Foundation,4
Birmingham City Council,The Big Lottery Fund,2
Birmingham City Council,Garfield Weston Foundation,1
Birmingham City Council,Co-operative Group,1
Birmingham City Council,Sport England,1
Birmingham City Council,Somerset Community Foundation,1
Cheshire Community Foundation,Co-operative Group,19
Cheshire Community Foundation,The Big Lottery Fund,14
Cheshire Community Foundation,Garfield Weston Foundation,11
Cheshire Community Foundation,Lloyds Bank Foundation for England and Wales,3
Cheshire Community Foundation,Quartet Community Foundation,2
Cheshire Community Foundation,The Blagrave Trust,1
Cheshire Community Foundation,The Dulverton Trust,1
Cheshire Community Foundation,The Clothworkers Foundation,1
Cheshire Community Foundation,Greater London Authority,1
Cheshire Community Foundation,The Tudor Trust,1
City Bridge Trust,The Big Lottery Fund,36
City Bridge Trust,Garfield Weston Foundation,17
City Bridge Trust,Co-operative Group,13
City Bridge Trust,The Tudor Trust,11
City Bridge Trust,Lloyds Bank Foundation for England and Wales,7
City Bridge Trust,Trust for London,7
City Bridge Trust,Esmée Fairbairn Foundation,5
City Bridge Trust,The Clothworkers Foundation,4
City Bridge Trust,A B Charitable Trust,3
City Bridge Trust,Quartet Community Foundation,3
City Bridge Trust,The Henry Smith Charity,3
City Bridge Trust,United St Saviour's Charity,2
City Bridge Trust,Joseph Rowntree Charitable Trust,2
City Bridge Trust,The Dunhill Medical Trust,2
City Bridge Trust,London Borough of Barnet,2
City Bridge Trust,Greater London Authority,2
City Bridge Trust,Pears Foundation,1
City Bridge Trust,London Councils,1
City Bridge Trust,The David & Elaine Potter Foundation,1
City Bridge Trust,Comic Relief,1
City Bridge Trust,Woodward Charitable Trust,1
City Bridge Trust,Somerset Community Foundation,1
City Bridge Trust,Tuixen Foundation,1
City Bridge Trust,Seafarers UK,1
City Bridge Trust,Indigo Trust,1
City Bridge Trust,National Churches Trust,1
Co-operative Group,The Big Lottery Fund,500
Co-operative Group,Garfield Weston Foundation,204
Co-operative Group,The Robertson Trust,59
Co-operative Group,Quartet Community Foundation,53
Co-operative Group,Lloyds Bank Foundation for England and Wales,51
Co-operative Group,The Tudor Trust,41
Co-operative Group,Corra Foundation,39
Co-operative Group,The Clothworkers Foundation,32
Co-operative Group,Community Foundation serving Tyne & Wear and Northumberland,28
Co-operative Group,Woodward Charitable Trust,27
Co-operative Group,Cheshire Community Foundation,19
Co-operative Group,Sport England,19
Co-operative Group,Sussex Community Foundation,18
Co-operative Group,Somerset Community Foundation,17
Co-operative Group,Heart Of England Community Foundation,16
Co-operative Group,Devon Community Foundation,14
Co-operative Group,Essex Community Foundation,13
