Recipient Org:Identifier,Funding Org:Identifier,Amount Awarded,Grants
GB-CHC-1002721,360G-blf,10000.0,1
GB-CHC-1002721,GB-CHC-1111600,12104.0,2
GB-CHC-1002721,GB-COH-IP00525R,2784.1,2
GB-CHC-1004354,GB-CHC-1035628,107114.0,1
GB-CHC-1004354,GB-CHC-1105580,30000.0,1
GB-CHC-1004354,GB-COH-IP00525R,6171.79,1
GB-CHC-1006504,360G-blf,497758.0,1
GB-CHC-1006504,GB-CHC-226446,25000.0,1
GB-CHC-1006504,GB-COH-IP00525R,1130.17,1
GB-CHC-1008128,GB-CHC-1164703,4000.0,1
GB-CHC-1008128,GB-CHC-230260,20000.0,1
GB-CHC-1008128,GB-COH-IP00525R,5452.34,2
GB-CHC-1010397,360G-blf,245016.0,1
GB-CHC-1010397,GB-CHC-210037,60000.0,1
GB-CHC-1010397,GB-CHC-328524,19500.0,1
GB-CHC-1011056,GB-CHC-274100,25000.0,1
GB-CHC-1011056,GB-CHC-326568 ,49150.0,1
GB-CHC-1011056,GB-COH-03037449,593776.0,1
GB-CHC-1011495,GB-CHC-1161290,49702.0,1
GB-CHC-1011495,GB-CHC-230260,6500.0,1
GB-CHC-1011495,GB-COH-02273708,5548.0,2
GB-CHC-1011957,360G-blf,9960.0,1
GB-CHC-1011957,GB-CHC-230260,20000.0,1
GB-CHC-1011957,GB-CHC-274100,8000.0,1
GB-CHC-1011957,GB-COH-IP00525R,1484.59,1
GB-CHC-1012889,GB-CHC-1035628,27300.0,1
GB-CHC-1012889,GB-CHC-1075920,2000.0,1
GB-CHC-1012889,GB-CHC-327114,74250.0,1
GB-CHC-1016968,GB-CHC-1093028,35000.0,1
GB-CHC-1016968,GB-CHC-200051,350000.0,1
GB-CHC-1016968,GB-CHC-230260,60000.0,1
GB-CHC-1017560,360G-blf,9804.0,1
GB-CHC-1017560,GB-CHC-1093028,20000.0,1
GB-CHC-1017560,GB-CHC-205629,500.0,1
GB-CHC-1017706,360G-blf,733288.0,1
GB-CHC-1017706,GB-CHC-1161290,148950.0,1
GB-CHC-1017706,GB-COH-02273708,3930.0,1
GB-CHC-1017706,GB-COH-IP00525R,2805.62,2
GB-CHC-1025852,GB-CHC-1045304,3500.0,2
GB-CHC-1025852,GB-CHC-1080418,500.0,2
GB-CHC-1025852,GB-COH-02273708,2200.0,1
GB-CHC-1025852,GB-COH-IP00525R,4847.22,1
